VBAK_VBELN,VBAK_VKORG,VBAK_ERDAT,VBAK_VDATU,VBEP_EDATU,VBAP_POSNR,VBAP_ARKTX,VBAP_KWMENG,VBAP_MATNR,LIKP-VBELN,LIKP_WADAT_IST,LIPS_POSNR,LIPS_VGBEL,LIPS_LFIMG
1158,1,19980515,19980626,19980626,10,Z040H0005110-DEU TYPE B,"1,000",78003537,80001423,0,10,1158,0
2302,1,19981124,19981123,19981123,10,Software P/N Z050H606560,"1,000",95000241,80004064,0,10,2302,"1,000"
2303,1,19981124,19981123,19981123,10,Software P/N Z050H606550,"1,000",95000241,80004065,0,10,2303,"1,000"
2560,1,19981221,19981216,19981216,10,Z050H6026020- Software,"1,000",95000241,80003311,0,10,2560,"1,000"
2632,1,19990106,19990104,19990104,10,P/N Z010H0003113- CIDS Director,"1,000",95000241,80003396,0,10,2632,"1,000"
4006,1,19990512,19991106,19991106,10,Z050H0075010-CAM,"1,000",95000241,80005029,0,10,4006,"1,000"
4044,1,19990520,19990526,19990528,10,CAM Software,"1,000",95000241,80005172,0,10,4044,"1,000"
4907,1,19990720,19990719,19990719,10,Software for Z050H6065070,"1,000",95000241,80006063,0,10,4907,"1,000"
5291,1,19990824,19990824,19990824,10,Freight charges,"1,000",95000241,80006545,0,10,5291,"1,000"
5342,1,19990830,19990830,19990830,10,Freightcharges,"1,000",95000241,80006607,0,10,5342,"1,000"
5475,1,19990913,19990913,19990913,10,Transportation charges,"1,000",95000241,80006729,0,10,5475,"1,000"
5476,1,19990913,19990913,19990913,10,Transportation charges,"1,000",95000241,80006730,0,10,5476,"1,000"
5579,1,19990920,19990920,19990920,10,Transportation charges,"1,000",95000241,80006839,0,10,5579,"1,000"
5580,1,19990920,19990920,19990920,10,Transportation charges,"1,000",95000241,80006840,0,10,5580,"1,000"
5580,1,19990920,19990920,19990920,20,Transportation charges,"1,000",95000241,80006840,0,20,5580,"1,000"
6069,1,19991019,19991019,19991019,10,Transportation charges,"1,000",95000241,80007254,0,10,6069,"1,000"
6070,1,19991019,19991019,19991019,20,Transportation charges,"1,000",95000241,80007255,0,20,6070,"1,000"
6070,1,19991019,19991019,19991019,10,Transportation charges,"1,000",95000241,80007255,0,10,6070,"1,000"
6071,1,19991019,19991019,19991019,30,Z121H0098110- Specification charges,"1,000",95000241,80007256,0,30,6071,"1,000"
6071,1,19991019,19991019,19991019,10,Z131H0421114-Specification charges,"1,000",95000241,80007256,0,10,6071,"1,000"
6071,1,19991019,19991019,19991019,20,Z121H0096110- Specification charges,"1,000",95000241,80007256,0,20,6071,"1,000"
7620,1,20000302,20000301,20000301,10,Z131H-23-001T01-Tooling Kit,"1,000",95000241,80008994,0,10,7620,"1,000"
7633,1,20000306,20000301,20000301,10,develop-charges for Z051H0062100,"1,000",95000241,80009031,0,10,7633,"1,000"
7656,1,20000308,20000320,20000320,10,Z021H1200-202-0,"100,000",95000241,80009052,0,10,7656,"100,000"
7661,1,20000309,20000309,20000309,10,Z111H0023130-CIDS ATTND.INDICAT.PNL.,"1,000",95000241,80009057,0,10,7661,"1,000"
7704,1,20000310,20000313,20000313,10,Z131H23-001T01,"1,000",95000241,80009098,0,10,7704,"1,000"
7815,1,20000321,20000321,20000321,10,Transportation Charges,"1,000",95000241,80009243,0,10,7815,"1,000"
7816,1,20000321,20000321,20000321,10,Transportation charges,"1,000",95000241,80009244,0,10,7816,"1,000"
7817,1,20000321,20000321,20000321,10,Transportation charges,"1,000",95000241,80009245,0,10,7817,"1,000"
7818,1,20000321,20000321,20000321,10,Transportation charges,"1,000",95000241,80009246,0,10,7818,"1,000"
7819,1,20000321,20000321,20000321,10,Transportation Charges,"1,000",95000241,80009247,0,10,7819,"1,000"
7820,1,20000321,20000321,20000321,10,Transportation charges,"1,000",95000241,80009248,0,10,7820,"1,000"
7825,1,20000322,20000322,20000322,10,Transportation Charges,"1,000",95000241,80009253,0,10,7825,"1,000"
7963,1,20000330,20000330,20000330,10,Service,"1,000",95000241,80009401,0,10,7963,"1,000"
7967,1,20000331,20000425,20000425,10,Z051H1200-201-00-PLACARD,"100,000",95000241,80009707,0,10,7967,"100,000"
7967,1,20000331,20000425,20000712,10,Z051H1200-201-00-PLACARD,"100,000",95000241,80009707,0,10,7967,"100,000"
8011,1,20000404,20000404,20000404,10,Transportation Charges,"1,000",95000241,80009437,0,10,8011,"1,000"
8012,1,20000404,20000404,20000404,10,Transportation Charges,"1,000",95000241,80009438,0,10,8012,"1,000"
8013,1,20000404,20000404,20000404,10,Transportation Charges,"1,000",95000241,80009439,0,10,8013,"1,000"
8020,1,20000405,20000405,20000405,10,Transportation Charges,"1,000",95000241,80009454,0,10,8020,"1,000"
8021,1,20000405,20000414,20000414,10,Z050H6054030 - Software on a disk,"1,000",95000241,80009477,0,10,8021,"1,000"
8038,1,20000410,20000410,20000410,10,Transportation Charges,"1,000",95000241,80009494,0,10,8038,"1,000"
8094,1,20000417,20000417,20000417,10,Transportation charges,"1,000",95000241,80009572,0,10,8094,"1,000"
8095,1,20000417,20000417,20000417,10,Transportation charges,"1,000",95000241,80009573,0,10,8095,"1,000"
8124,1,20000418,20000531,20000531,10,"FAP-Modification- KID ref. KC,201-2000","1,000",95000241,80009603,0,10,8124,"1,000"
8162,1,20000426,20000426,20000426,10,Transportation Charges,"1,000",95000241,80009702,0,10,8162,"1,000"
8163,1,20000426,20000426,20000426,10,Transportation Charges,"1,000",95000241,80009703,0,10,8163,"1,000"
8164,1,20000426,20000426,20000426,10,Transportation Charges,"1,000",95000241,80009704,0,10,8164,"1,000"
8165,1,20000426,20000426,20000426,10,Transportation Charges,"1,000",95000241,80009705,0,10,8165,"1,000"
